model,regime,n_obs_mean,rmse_mean,rmse_std,mae_mean,mae_std,hit_ccy_mean,hit_ccy_std,hit_pair_mean,hit_pair_std,extreme_rmse_mean,extreme_rmse_std,extreme_hit_mean,extreme_hit_std
Ours,Oil_shock_top10,108.0,0.007065882239260174,4.833026966073556e-05,0.004233132939644707,3.705739240835781e-05,0.6317901234567901,0.0064298353876542265,0.6102693602693603,0.006530308600019219,0.018178855577761232,0.0002563625626136143,0.8117283950617283,0.0157377145481259
LSTM,US2Y_shock_top10,322.0,0.005776109808841432,1.4928853075550731e-05,0.004118426119215633,1.5252088064506839e-05,0.6035196687370601,0.008441773514648082,0.5496141539619801,0.004304301896933667,0.0134585124565091,8.874062549092078e-05,0.7412008281573499,0.01301222059003784
MLP,US2Y_shock_top10,322.0,0.005897468951450353,6.426070922208172e-05,0.004259356634121033,6.15464384660959e-05,0.5914078674948241,0.01090745638519408,0.5468849990589121,0.0071963632250230305,0.013097276806726852,8.036532568159474e-05,0.715320910973085,0.01250832916521178
NoGraph,US2Y_shock_top10,322.0,0.005574526105597489,2.7330168515472262e-06,0.0039614033827439915,2.8475756387206764e-06,0.6278467908902692,0.0021565907511387006,0.5780161867118389,0.0017375245477649582,0.012887998266443915,1.705870063327916e-05,0.7598343685300207,0.006381380955454421
NoMacro,US2Y_shock_top10,322.0,0.0060395384759634714,3.077440826814461e-05,0.004299564127834933,1.686082654618527e-05,0.5743271221532091,0.027990922110029987,0.5344438170525126,0.00796500682137146,0.014291444770208966,0.00015627033932060495,0.6645962732919255,0.010142814669909614
StaticGraph,US2Y_shock_top10,322.0,0.005470511943786668,5.065544289023693e-05,0.0038710762056019636,3.9872649168985074e-05,0.6449275362318839,0.006955104361176301,0.5977225672877847,0.005045635544481878,0.012428517513396839,0.0001468550732918867,0.7960662525879917,0.003873351332064109
PureGraphFX,US2Y_shock_top10,322.0,0.005528676576980568,0.00010899619056635989,0.0039298387884448205,8.57680315138425e-05,0.6439958592132505,0.016668916942335694,0.6048183700357613,0.004786872985643509,0.012522174034684854,6.294426430920642e-05,0.7919254658385094,0.03237369724867884
Ours,US2Y_shock_top10,322.0,0.005200619613403537,1.5881411874201072e-05,0.003678051968801771,4.552204857279581e-06,0.668840579710145,0.002793113367128798,0.6165631469979296,0.00018632589754586127,0.011852349570008748,2.5908701901303643e-05,0.8260869565217392,0.004391967585009594
LSTM,VIX_top10,82.0,0.007434143306378743,4.477496658685825e-05,0.005395474368490027,4.226185539814383e-05,0.5630081300813008,0.017709773098204814,0.5431633407243163,0.010345264276081411,0.017018598446961606,0.00010587307477332232,0.6585365853658537,0.03590146693629205
MLP,VIX_top10,82.0,0.007448316890013963,7.675599188335978e-05,0.005406411730301421,7.882165562044057e-05,0.5695121951219512,0.024952860574346,0.5552845528455285,0.002098310357217809,0.016788334902290813,0.0003784680923158632,0.6991869918699187,0.04599068495522259
NoGraph,VIX_top10,82.0,0.007099685137770182,3.1533778631419836e-05,0.005072611277516141,2.4861679599289145e-05,0.6069105691056911,0.0063237191813431135,0.5806356245380636,0.0033643183079795956,0.016016843177621035,4.983258986770305e-05,0.6951219512195123,0.02634447438377176
NoMacro,VIX_top10,82.0,0.007665154210875796,0.0001806358267715499,0.005587101917135774,8.724079146791829e-05,0.5211382113821138,0.010363860799985344,0.5101256467110126,0.0024108656955358727,0.017538454939167603,7.385407350880774e-05,0.6504065040650406,0.08291088639988266
