date,D_F,VIX,Delta_US2Y_abs,Oil_return_abs,ShockScore,is_large_update,is_stress_day,rolling_update_ratio_20d,rolling_stress_ratio_20d
2025-02-04,0.6455618739128113,17.209999084472656,0.04999999999999982,0.006307531016771506,0.7302991754676905,0,0,0.05,0.15
2025-02-05,0.48274677991867065,15.770000457763672,0.040000000000000036,0.02323903673808303,1.0964887960113212,0,0,0.05,0.15
2025-02-06,0.7679049372673035,15.5,0.040000000000000036,0.005930519651741406,0.5942875771401359,0,0,0.05,0.1
2025-02-07,0.6411706209182739,16.540000915527344,0.08000000000000007,0.00550809086907833,1.0781784808424821,0,1,0.05,0.15
2025-02-10,0.6407724022865295,15.8100004196167,0.009999999999999787,0.018420834822808096,0.8651023938453943,0,0,0.05,0.15
2025-02-11,0.42668646574020386,16.020000457763672,0.009999999999999787,0.013732706945136286,0.5490307244701597,0,0,0.05,0.1
2025-02-12,0.37036868929862976,15.890000343322754,0.07000000000000028,0.02695576734257976,1.0396519586506867,0,1,0.05,0.15
2025-02-13,0.36647993326187134,15.100000381469728,0.05000000000000071,0.0011215734948457623,0.9946693023350175,0,0,0.05,0.15
2025-02-14,0.6022875905036926,14.770000457763672,0.04999999999999982,0.00774492439283847,0.8577437338378883,0,0,0.05,0.15
2025-02-17,0.681376039981842,14.770000457763672,0.0,0.0,0.05299054271187615,0,0,0.05,0.15
2025-02-18,0.4841338098049164,15.350000381469728,0.03000000000000025,0.015569437709031853,0.9587859620172525,0,0,0.05,0.15
2025-02-19,0.5599851608276367,15.270000457763672,0.009999999999999787,0.005551735704513838,0.3441442213336852,0,0,0.05,0.15
2025-02-20,0.5035390257835388,15.65999984741211,0.0,0.004419282092243293,0.6948239171128858,0,0,0.05,0.15
2025-02-21,0.4819335639476776,18.209999084472656,0.08999999999999986,0.030358324246371637,1.3491164435074199,0,1,0.05,0.15
2025-02-24,0.644805371761322,18.979999542236328,0.0600000000000005,0.004252244899221935,0.5779342267220622,0,1,0.0,0.2
2025-02-25,0.8605214953422546,19.43000030517578,0.05999999999999961,0.025354028412746032,1.1645840978772308,1,0,0.05,0.2
2025-02-26,0.679448664188385,19.100000381469727,0.020000000000000462,0.004507423868616911,0.6864786939891026,0,0,0.05,0.2
2025-02-27,0.8429201245307922,21.1299991607666,0.020000000000000462,0.024898684414305094,0.9819475884887794,0,0,0.05,0.2
2025-02-28,0.7156996130943298,19.6299991607666,0.08000000000000007,0.008421951647283876,1.461992683628906,0,1,0.05,0.25
2025-03-01,0.606103777885437,19.6299991607666,0.0,0.0,0.0,0,0,0.05,0.25
2025-03-03,0.6225245594978333,22.780000686645508,0.03000000000000025,0.02012663812526405,1.240436291990091,0,0,0.05,0.25
2025-03-04,0.5785472989082336,23.51000022888184,0.0,0.0016101973239743828,0.661766616969649,0,0,0.05,0.25
2025-03-05,0.718532383441925,21.93000030517578,0.03000000000000025,0.028983296211349874,1.2600933140140667,0,0,0.05,0.25
2025-03-06,0.7114148736000061,24.8700008392334,0.03000000000000025,0.0007537959571211061,0.7788190380402656,0,0,0.05,0.2
2025-03-07,0.7595473527908325,23.3700008392334,0.03000000000000025,0.010194995310435218,0.7254435318026676,0,0,0.05,0.2
2025-03-10,0.6172488331794739,27.86000061035156,0.10000000000000009,0.01518030411088045,1.5176082632029022,0,1,0.05,0.25
2025-03-11,0.8611699938774109,26.920000076293945,0.04999999999999982,0.0033262991469502623,0.9232380058656078,1,0,0.1,0.2
2025-03-12,0.4824979901313782,24.229999542236328,0.06999999999999984,0.02135525494073498,1.0280927053340068,0,1,0.1,0.25
2025-03-13,0.5360227227210999,24.65999984741211,0.06999999999999984,0.016837129109330107,1.0431435970975236,0,1,0.1,0.3
2025-03-14,0.6817281246185303,21.770000457763672,0.07999999999999963,0.009421998029068845,1.2452844171701154,0,1,0.1,0.35
2025-03-17,0.6502997279167175,20.51000022888184,0.040000000000000036,0.005936519653962691,0.6657231470095047,0,0,0.1,0.35
2025-03-18,0.6848036050796509,21.700000762939453,0.019999999999999574,0.010113118438230373,0.7603941930937717,0,0,0.1,0.35
2025-03-19,0.2955813407897949,19.89999961853028,0.04999999999999982,0.003878896794933695,0.7028385819213475,0,0,0.1,0.35
2025-03-20,0.6021071076393127,19.799999237060547,0.040000000000000036,0.016246088036584005,0.5481463980075924,0,0,0.1,0.3
2025-03-21,0.6442961096763611,19.280000686645508,0.010000000000000231,0.0002929052742830507,0.41367012453098506,0,0,0.1,0.25
2025-03-24,0.8894606232643127,17.479999542236328,0.10000000000000009,0.012082566886560286,1.151162205840091,1,1,0.1,0.3
2025-03-25,0.7021787762641907,17.149999618530273,0.08000000000000007,0.0015929423376386254,0.6629685110517329,0,1,0.1,0.35
2025-03-26,0.8140738606452942,18.32999992370605,0.020000000000000018,0.00937621753636364,0.5291162112611192,0,0,0.1,0.35
2025-03-27,0.5364328026771545,18.690000534057617,0.009999999999999787,0.0038689830258036295,0.6065838591174334,0,0,0.1,0.3
2025-03-28,0.6104801893234253,21.64999961853028,0.08000000000000007,0.008041363887377528,1.3334617390962755,0,1,0.1,0.35
2025-03-31,0.8420515060424805,22.280000686645508,0.0,0.030107395982433616,0.8674218639125191,0,0,0.1,0.35
2025-04-01,1.1945847272872925,21.770000457763672,0.020000000000000018,0.003924961698320573,0.5658366109697833,1,0,0.15,0.35
2025-04-02,0.9316563606262207,21.51000022888184,0.040000000000000036,0.0071374195712401445,0.5517835710177906,1,0,0.2,0.35
2025-04-03,0.8074449896812439,30.020000457763672,0.20000000000000018,0.06868416857286341,3.3297928820307954,0,1,0.2,0.4
2025-04-04,1.0458760261535645,45.310001373291016,0.029999999999999805,0.07697291776429882,3.817117120024586,1,1,0.25,0.45
2025-04-07,0.9377893209457397,46.97999954223633,0.04999999999999982,0.021029398155769208,2.5836726778682415,1,1,0.3,0.45
2025-04-08,0.740237832069397,52.33000183105469,0.020000000000000018,0.01862373261662853,1.538996650244406,0,1,0.25,0.5
2025-04-09,0.7210699915885925,33.619998931884766,0.20000000000000018,0.04544366963540547,4.519491049901637,0,1,0.25,0.5
2025-04-10,0.6987624764442444,40.720001220703125,0.07000000000000028,0.037253103871513815,2.501788200859721,0,1,0.25,0.5
2025-04-11,0.7572853565216064,37.560001373291016,0.1200000000000001,0.023526631030738265,1.9296575939698626,0,1,0.25,0.5
2025-04-14,0.21395061910152435,30.88999938964844,0.1200000000000001,0.00048766610077244366,1.6915472155031428,0,1,0.25,0.55
2025-04-15,0.5638286471366882,30.1200008392334,0.0,0.003255691419577822,0.3276813457103547,0,1,0.25,0.6
2025-04-16,0.7577741742134094,32.63999938964844,0.06999999999999984,0.018417311552441085,1.6066043878933522,0,1,0.25,0.65
2025-04-17,0.8412246704101562,29.64999961853028,0.040000000000000036,0.03476557838103833,0.9448188058108374,0,1,0.25,0.7
2025-04-18,0.7339329719543457,29.64999961853028,0.0,0.0,0.011244517362417075,0,1,0.25,0.75
2025-04-21,0.8587186336517334,33.81999969482422,0.06000000000000005,0.02504824830480956,1.5876790766968585,1,1,0.25,0.75
2025-04-22,0.7501212954521179,30.56999969482422,0.009999999999999787,0.01931131106134476,1.0854982905556654,0,1,0.25,0.75
2025-04-23,0.7451313138008118,28.450000762939453,0.050000000000000266,0.0322353259480499,1.4037038406634097,0,0,0.25,0.75
2025-04-24,0.6761795878410339,26.46999931335449,0.040000000000000036,0.008316063471168533,1.099499123964927,0,0,0.25,0.75
2025-04-25,0.6523338556289673,24.84000015258789,0.029999999999999805,0.0036563038861121555,0.6704823325684777,0,0,0.25,0.7
2025-04-28,0.46241024136543274,25.14999961853028,0.07000000000000028,0.015511644237856004,0.718391387361937,0,1,0.25,0.75
2025-04-29,0.5683838129043579,24.170000076293945,0.020000000000000018,0.026620353701971133,0.8217697302786622,0,0,0.2,0.75
2025-04-30,0.3596442937850952,24.700000762939453,0.04999999999999982,0.03726300009744943,1.052601986151593,0,1,0.15,0.8
2025-05-01,0.6527010202407837,24.600000381469727,0.10000000000000009,0.0175398721772968,1.079921505944715,0,1,0.15,0.8
2025-05-02,0.5400683283805847,22.68000030517578,0.1299999999999999,0.016166449969052366,1.2783344723087433,0,1,0.1,0.8
2025-05-05,0.5342171788215637,23.63999938964844,0.0,0.02010117633128594,0.8212170611040394,0,0,0.05,0.75
2025-05-06,0.9699878096580505,24.76000022888184,0.050000000000000266,0.03373231650728492,1.302101531843573,1,0,0.1,0.7
2025-05-07,0.8763588666915894,23.549999237060547,0.0,0.01741253381123009,0.7938332482894253,1,0,0.15,0.65
2025-05-08,1.0208683013916016,22.479999542236328,0.1200000000000001,0.03119425942023213,1.4796543883769102,1,1,0.2,0.65
2025-05-09,0.8920848369598389,21.89999961853028,0.020000000000000018,0.018358253241505196,0.5155968398382744,1,0,0.25,0.6
2025-05-12,0.5686177611351013,18.38999938964844,0.10000000000000009,0.01512593360017167,1.9494441671782872,0,1,0.25,0.6
2025-05-13,0.4862384498119354,18.21999931335449,0.03999999999999959,0.027385844879860066,0.914497772463795,0,0,0.25,0.55
2025-05-14,0.5730330348014832,18.6200008392334,0.03000000000000025,0.008200592311149002,0.8358802575659962,0,0,0.25,0.5
2025-05-15,0.5308293104171753,17.829999923706055,0.08999999999999986,0.024526397124652988,1.0735596929362936,0,1,0.25,0.5
2025-05-16,0.21637265384197235,17.239999771118164,0.020000000000000018,0.014020094966140206,0.7417962285074344,0,0,0.25,0.45
2025-05-19,0.48605531454086304,18.13999938964844,0.009999999999999787,0.0031953525790582304,0.8006476922606736,0,0,0.2,0.4
2025-05-20,0.6793157458305359,18.09000015258789,0.0,0.0020758051911764497,0.37476475641790113,0,0,0.2,0.35
2025-05-21,0.4884917438030243,20.8700008392334,0.029999999999999805,0.01595138422208553,1.095717712595891,0,0,0.2,0.35
2025-05-22,0.8094671368598938,20.280000686645508,0.0,0.006027531981941614,0.3906346917423152,0,0,0.2,0.35
2025-05-23,0.7984593510627747,22.290000915527344,0.0,0.005377638928633743,1.1853231089493124,0,0,0.2,0.35
2025-05-26,1.0627621412277222,22.290000915527344,0.0,0.0,0.01330921044126971,1,0,0.25,0.3
