model,display_name,lookback,seed,regime,n_obs,rmse,mae,hit_ccy,hit_pair,extreme_rmse,extreme_hit
Ours,Ours,20,42,VIX_top10,82,0.006795976376066627,0.004897522929435604,0.6292682926829268,0.6075388026607539,0.014854194013106786,0.7926829268292683
Ours,Ours,20,42,all_test,1104,0.005073202718961306,0.0035097422134266498,0.6561594202898551,0.6179347826086956,0.011786776254226918,0.822463768115942
Ours,Ours,20,42,composite_macro_shock_top10,103,0.005891550972275322,0.004080544548607524,0.6038834951456311,0.5851721094439541,0.01352193354072927,0.7281553398058253
Ours,Ours,20,42,normal,668,0.0042409422087830865,0.003127198716337708,0.6498502994011977,0.615242242787153,0.00909472530069938,0.8188622754491018
Ours,Ours,20,123,FX_move_top10,89,0.010294329943063526,0.006909774033621861,0.7348314606741573,0.686414708886619,0.023260157758201616,0.898876404494382
Ours,Ours,20,123,Oil_shock_top10,108,0.00702133990266836,0.00419967722401848,0.6407407407407407,0.6175084175084176,0.017878157831519647,0.8333333333333334
Ours,Ours,20,123,US2Y_shock_top10,322,0.005222687726458854,0.0036844098988269808,0.672360248447205,0.6164313946922643,0.01184349251034948,0.8322981366459627
Ours,Ours,20,123,VIX_top10,82,0.006777170764150686,0.004892349965114302,0.6402439024390244,0.6206208425720621,0.014714550756581372,0.8292682926829268
Ours,Ours,20,123,all_test,1104,0.005081383801485439,0.003516200182413528,0.6597826086956522,0.6212121212121212,0.011751209607537724,0.8297101449275363
Ours,Ours,20,123,composite_macro_shock_top10,103,0.005806413917426258,0.004018612026249278,0.6242718446601941,0.596116504854369,0.013020336937366254,0.7864077669902912
Ours,Ours,20,123,normal,668,0.004249877430215552,0.003133038119441237,0.6519461077844312,0.6181818181818182,0.009124688696699359,0.8188622754491018
Ours,Ours,20,456,FX_move_top10,89,0.010395281085974695,0.007091561046299728,0.7292134831460674,0.6780388151174668,0.023866221068698207,0.8876404494382022
Ours,Ours,20,456,Oil_shock_top10,108,0.007133050040352152,0.004284795190498395,0.6259259259259259,0.6116161616161616,0.01850461338542828,0.7962962962962963
Ours,Ours,20,456,US2Y_shock_top10,322,0.0051859692529187505,0.003675748445357668,0.6686335403726708,0.6164313946922643,0.011887568611720455,0.8229813664596274
Ours,Ours,20,456,VIX_top10,82,0.006888880385520381,0.00493515018368537,0.6378048780487805,0.6130820399113082,0.015448001153114177,0.8292682926829268
Ours,Ours,20,456,all_test,1104,0.005101700915816179,0.0035471779022899093,0.657518115942029,0.619433465085639,0.01189321089585547,0.8278985507246377
Ours,Ours,20,456,composite_macro_shock_top10,103,0.005931549148354297,0.004056952971529329,0.6155339805825243,0.592586054721977,0.013893964529025955,0.7475728155339806
Ours,Ours,20,456,normal,668,0.004285914353976597,0.0031687548750903784,0.6501497005988024,0.6159499183451279,0.009273989841189751,0.8233532934131736

